YEAR,ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,GOA,GUJARAT,HARYANA,HIMACHAL PRADESH,JAMMU AND KASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYA PRADESH,CHHATTISGARH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUNJAB,RAJASTHAN,SIKKIM,TAMILNADU,TRIPURA,UTTAR PRADESH,UTTARAKHAND,WEST BENGAL,ANDAMAN AND NICOBAR ISLANDS,CHANDIGARH,DELHI,PONDICHERRY,TELANGANA
1999,116360.0,1497.0,32011.0,46071.0,5570.0,92541.0,47329.0,12467.0,13533.0,30229.0,90532.0,61359.0,72655.0,23840.0,217198.0,2954.0,3211.0,1410.0,2610.0,38399.0,61139.0,74174.0,765.0,119704.0,4496.0,156809.0,11187.0,125299.0,838.0,3792.0,51175.0,2893.0,0.0
2000,126035.0,1607.0,32821.0,53656.0,5287.0,86431.0,51090.0,13262.0,13917.0,26663.0,91136.0,62909.0,66750.0,22372.0,210526.0,2765.0,3422.0,1463.0,3052.0,37386.0,63172.0,71764.0,814.0,126349.0,4778.0,160015.0,12582.0,129691.0,838.0,4274.0,53177.0,3305.0,0.0
2001,131750.0,1864.0,33668.0,50579.0,5492.0,93455.0,55036.0,13938.0,14185.0,28500.0,92788.0,66052.0,71525.0,25503.0,217963.0,2937.0,3651.0,1555.0,3402.0,39662.0,63995.0,79936.0,881.0,123901.0,5433.0,162926.0,13179.0,139057.0,857.0,4649.0,55222.0,3529.0,0.0
2002,134749.0,1775.0,35708.0,56975.0,5826.0,101603.0,58410.0,14617.0,14907.0,29298.0,97765.0,70885.0,67795.0,25072.0,232994.0,2921.0,3759.0,1705.0,3741.0,39377.0,65085.0,70333.0,947.0,124521.0,5796.0,168198.0,14413.0,143931.0,948.0,5235.0,59454.0,3879.0,0.0
2003,147950.0,1968.0,37905.0,53301.0,6225.0,118525.0,64156.0,15596.0,15673.0,31515.0,99669.0,75479.0,75400.0,29782.0,250989.0,3240.0,3993.0,1760.0,3912.0,45127.0,69149.0,92712.0,1022.0,132281.0,6136.0,177054.0,15553.0,152388.0,1048.0,5804.0,62694.0,4053.0,0.0
2004,158714.0,2222.0,39207.0,60045.0,6891.0,125599.0,69688.0,17076.0,16519.0,36886.0,109775.0,82590.0,77874.0,31377.0,272860.0,3540.0,4270.0,1839.0,4100.0,51020.0,72587.0,90445.0,1102.0,147994.0,6639.0,185920.0,17599.0,162491.0,1088.0,6397.0,69479.0,3500.0,79916.0
2005,167555.26987840646,2286.8199498117942,40387.838621478986,58549.15922014622,7465.51104645877,143830.23092328678,75983.37510148222,18542.719524281467,17284.24132749442,35232.748567551265,121069.21330070127,91043.22554783539,81797.30988593157,31889.500350351558,312392.0067671469,3773.795350858136,4603.799178925761,1974.62625,4527.319682715366,53284.8206274729,76146.0457797185,96520.3832700025,1212.127068166777,169349.5544527357,7076.182619339045,196772.01944344648,20094.192031586506,172722.09533281764,1145.9644825474586,7096.382917214191,76635.44629791906,4433.240611961057,92751.0
2006,185154.13006227964,2410.186951066499,42211.864500540476,68682.02573859507,8197.902991181018,155994.59231997211,84622.64387279349,20001.380150077868,18293.452086553323,35822.996871230396,133657.2938028226,98236.03449263191,89254.32589553733,37956.1095271462,355420.8289214454,3839.165761459917,4950.74580910024,2063.51125,4881.27651724774,59918.68886698928,84358.3205277094,107881.01273127597,1283.6002647253474,195867.64586743785,7685.63794369645,212401.0197853949,22515.159996410624,186279.4723910561,1351.8383343539497,8145.457293035479,86150.23360114869,4599.443671766342,102977.0
2007,208244.46222031832,2699.4372647427854,44015.94658866917,72237.64269528411,8555.01454677698,174440.1796476359,91246.97232724827,21244.868186323092,19423.22913446677,43802.82022768396,150429.59174068272,107002.98474841568,93472.17622573544,41024.288399739045,396788.2581893558,4050.6582663480335,5106.323982210059,2289.555,5277.587161040398,65056.935002279846,91663.55281739212,112796.08291310062,1357.990734612839,208136.98241627723,8192.70477356181,226014.12775019585,26450.61477027997,200772.31274173944,1491.0863441518677,8746.489487516425,95861.6104500776,4963.143254520167,113456.0
2008,213567.2675552773,2921.0796737766623,46637.72410504228,83250.21420325794,9227.261387398856,181896.72028560645,98272.18742316346,22282.0484213507,20639.530224969945,42041.80850422195,161131.120864122,113582.53283194626,105289.63754252552,43715.67337569768,403020.8781075771,4346.747773191397,5762.235716729388,2633.60125,5613.392363032651,69946.03585979673,96745.01372694755,122281.74278205902,1535.944407677035,219145.29957396266,9057.318727050184,243188.2432075627,29266.39160086145,208864.8397981361,1718.2804654011022,9403.842181340342,107802.22472206679,5418.636995827538,128918.0
2009,228028.1437539131,3163.6317440401504,50934.78005976982,87232.84749241096,10098.738885353214,207599.07391518878,110550.95729628169,23490.88319411015,21639.521208998798,46208.3080141737,161170.97758338993,123852.68162556311,115270.50672403442,44929.450093024374,441960.0043240555,4644.375407343037,6132.555593568252,2936.27,5931.045932484782,70508.8640475385,102924.87270636874,129408.2332025285,2668.575777630708,242085.15293449356,9984.503427172582,258315.08113700012,34274.936871859296,225084.0973219877,1939.4782608695652,9891.392772667543,116665.62576939726,6395.688456189151,129267.0
2010,243247.36608231458,3300.2415307402757,53441.04978699053,100552.50523750481,12087.28638967179,230317.9363654834,118045.75936535919,25458.06031431403,22876.38948995363,52930.46449034982,177743.9919249104,131778.56589295258,121323.39077446469,49261.44269939836,492315.7682090032,4508.251140560504,6738.799178925761,3478.00875,6494.502859251061,74953.70585553121,109572.58351140429,148846.0871302248,2937.694242223693,275101.6976116089,10738.602815177479,278942.3679278359,37875.593727566404,238732.1134195307,2108.041641151255,9889.711563731931,126341.79255043973,6823.365785813629,152123.0
2011,250455.57679507037,3473.0947302383943,55628.21885928658,110836.83847107615,14584.56123283935,245624.7334861986,128124.50214562408,27363.98980603143,24106.16563626996,55727.36546290712,183075.19717069302,139453.78569519738,132153.5961576946,52512.33249571121,513169.0879756123,4931.2361503367365,7525.455011974,3375.3312499999997,7026.950747094632,77766.34591907276,115476.78925303108,162804.37253631165,3316.9397749834548,295390.3532340107,11718.606976744186,294034.6017166676,41650.75610193826,247489.0417357351,2285.9326393141455,10052.788830486204,132567.37267861102,7075.104311543811,160602.0
2012,251441.94139150268,3530.8155342407917,56988.88559143853,114928.88155847773,12452.64978529652,275059.55765976507,136915.24769762883,29164.418830040668,24843.164254981686,60652.99235135825,195690.3342272444,148209.47730150487,143611.51620306994,54906.65538831683,541918.7097622071,4937.238872370013,7648.597303328134,3603.0238015302934,7432.428575878091,82364.33357477185,121552.15227450711,168763.78901256312,3394.5688315115012,310659.6202308642,12686.019390347616,306987.70802791504,44742.29123512254,257790.1673916919,2389.3502734076765,10869.243918608976,140801.16948222803,7237.047662210413,165080.13929427107
2013,265367.4352906486,3811.6102690053976,59658.18344430424,119770.8415037649,10732.846490140479,295726.169526656,148810.91633188594,31369.86527948608,26031.51455655993,61092.295152988205,213370.9898377536,155050.35293331326,150980.39746744517,60344.909357740464,577375.1797518855,5367.71979532785,7679.487234040696,4127.454562578076,7938.443600304083,88769.53029166746,129131.63345702871,178849.2087833736,3605.6653887368907,328647.7057998235,13874.093328055305,322446.20580267155,48112.42401112284,263569.9064059069,2559.2506722756193,11764.67248071017,150211.28316020922,8045.364328938243,172681.02253497735
2014,292494.3032993265,4441.785635055106,62969.54053582446,124051.09140931629,13829.797046857215,325294.6835829215,157518.49852025099,33700.07156087388,24783.377687014086,69188.36589881674,221452.0671739796,162459.21127869422,158772.36343572612,61031.42709787403,612808.8745167503,5837.647177361505,7469.10175999838,5249.578271392879,8260.029464511654,89839.15739931622,134426.9403333669,191663.33379719712,3894.050524172221,346822.359782397,16419.773837843466,332572.1439770904,51349.385479853314,269715.22659566585,2787.5753189756224,12085.316660772929,163318.8742341144,7492.79681542453,184192.00401674362
2015,329277.084026477,4376.255545805324,72088.24388239521,130580.6068194055,16088.717617714781,357170.96161432995,176107.87288928014,36416.76210425714,29746.400934102352,64184.045803056106,247404.47870906958,174794.97955490777,173500.29766936376,62332.488944094905,661626.2023910284,6274.988354071658,7651.519323800944,5770.319569800125,8389.196457588816,96411.89983617105,142348.1787873969,206700.451702929,4250.531323228644,377707.7533619784,15974.414298340358,360995.5981955396,55614.952321913326,286077.9914856062,3010.52762104739,13097.720970045168,181895.1590864031,7945.49148443492,205923.27891763215
2016,351795.5152052218,4548.399355388946,77250.09052778706,140313.51869099308,17793.172378331277,389051.388642098,194703.86252587158,39829.124319232214,30497.054509695565,71539.02124087178,280869.5606465875,188597.04452207324,196315.51473872093,69220.55027010168,727040.2920914103,6517.669830559841,8054.340717552604,6340.078014717364,8980.435065076028,111702.73149681311,152430.98371291664,218119.33775458406,4567.857115702939,403830.3969461265,18301.451529671558,404934.06620502233,61398.91716741494,305911.9470223065,3418.8258127932772,14157.034335289549,194476.52531214178,8533.0611630783,225107.75410516735
2017,387935.20684149436,4727.333847796379,83971.71537719759,151635.03192711834,18064.07401295425,436341.1881495157,205265.6097081125,42275.95392178356,32325.71157314904,77708.73094797395,302064.5743916009,201167.06315395932,206841.61880458714,71631.48246287182,756622.5760971871,7233.280050098318,8333.602388454012,7262.443674851655,9439.843442515416,120401.40064851416,161734.69790931974,229637.06009635734,5176.632348475513,438088.91240753105,19849.445941146863,420432.6721203626,66260.89538559137,326244.32725184434,3861.372701544165,15016.241980754023,205447.19690654305,9345.111394086627,246058.09604507612
2018,411681.621427448,5058.040101315999,87999.09968396211,167613.20870509464,18197.606263448295,476857.5206000468,222238.96871550672,44849.35146978371,34348.49045605288,84656.4487562084,321585.37734785915,217154.33107603714,225751.7266157705,77218.85103821693,787375.0511538823,6943.005563203441,8752.703610554185,7440.064947688944,10023.758148333303,128834.66214837071,170850.63868959743,233954.55870302033,5409.859996377758,469312.40649253543,22000.89580116339,432613.6967253731,68023.16845173262,344811.5623204939,4101.785123657697,15826.759213690448,213326.24485334966,10952.410816841038,268925.94700112875
